WL	WN	Time	Start	
573.960000	34845.633842	2079527734.000000	0.024368	
573.965000	34845.330290	2079531821.000000	0.022447	
573.970000	34845.026744	2079535735.000000	0.025611	
573.975000	34844.723202	2079539492.000000	0.025524	
573.980000	34844.419666	2079543428.000000	0.025254	
573.985000	34844.116135	2079547354.000000	0.023817	
573.990000	34843.812610	2079551241.000000	0.023542	
573.995000	34843.509090	2079555426.000000	0.025118	
574.000000	34843.205575	2079558972.000000	0.025706	
574.005000	34842.902065	2079562827.000000	0.024101	
574.010000	34842.598561	2079566714.000000	0.022123	
574.015000	34842.295062	2079570197.000000	0.023840	
574.020000	34841.991568	2079574113.000000	0.024975	
574.025000	34841.688080	2079577993.000000	0.024122	
574.030000	34841.384597	2079582172.000000	0.024541	
574.035000	34841.081119	2079586319.000000	0.026795	
574.040000	34840.777646	2079590095.000000	0.022769	
574.045000	34840.474179	2079594030.000000	0.026892	
574.050000	34840.170717	2079597936.000000	0.023074	
574.055000	34839.867260	2079601518.000000	0.021782	
574.060000	34839.563809	2079605192.000000	0.023617	
574.065000	34839.260363	2079608853.000000	0.027416	
574.070000	34838.956922	2079612869.000000	0.023974	
574.075000	34838.653486	2079617098.000000	0.023362	
574.080000	34838.350056	2079620744.000000	0.022518	
574.085000	34838.046631	2079624854.000000	0.025886	
574.090000	34837.743211	2079629124.000000	0.024121	
574.095000	34837.439797	2079633024.000000	0.025867	
574.100000	34837.136387	2079636763.000000	0.029133	
574.105000	34836.832984	2079640747.000000	0.022636	
574.110000	34836.529585	2079644770.000000	0.025547	
574.115000	34836.226192	2079648869.000000	0.024394	
574.120000	34835.922804	2079652539.000000	0.025303	
574.125000	34835.619421	2079656521.000000	0.024706	
574.130000	34835.316043	2079660559.000000	0.023131	
574.135000	34835.012671	2079664904.000000	0.025339	
574.140000	34834.709304	2079669075.000000	0.023507	
574.145000	34834.405943	2079672773.000000	0.026112	
574.150000	34834.102586	2079676542.000000	0.022911	
574.155000	34833.799235	2079680571.000000	0.023086	
574.160000	34833.495890	2079684681.000000	0.023482	
574.165000	34833.192549	2079688578.000000	0.023078	
574.170000	34832.889214	2079692790.000000	0.022904	
574.175000	34832.585884	2079697016.000000	0.023353	
574.180000	34832.282559	2079700702.000000	0.025455	
574.185000	34831.979240	2079705010.000000	0.024121	
574.190000	34831.675926	2079709311.000000	0.021496	
574.195000	34831.372617	2079713297.000000	0.022976	
574.200000	34831.069314	2079717334.000000	0.020706	
574.205000	34830.766016	2079721311.000000	0.024894	
574.210000	34830.462723	2079725490.000000	0.024899	
574.215000	34830.159435	2079729258.000000	0.023506	
574.220000	34829.856153	2079733060.000000	0.023965	
574.225000	34829.552876	2079737032.000000	0.021467	
574.230000	34829.249604	2079740833.000000	0.022186	
574.235000	34828.946337	2079744623.000000	0.024535	
574.240000	34828.643076	2079748624.000000	0.025062	
574.245000	34828.339820	2079752278.000000	0.022182	
574.250000	34828.036569	2079755999.000000	0.021486	
574.255000	34827.733324	2079759847.000000	0.024690	
574.260000	34827.430084	2079763609.000000	0.030146	
574.265000	34827.126849	2079767448.000000	0.027455	
574.270000	34826.823620	2079771591.000000	0.026942	
574.275000	34826.520395	2079775457.000000	0.034212	
574.280000	34826.217176	2079779445.000000	0.035171	
574.285000	34825.913963	2079782990.000000	0.032968	
574.290000	34825.610754	2079787040.000000	0.031169	
574.295000	34825.307551	2079790885.000000	0.035122	
574.300000	34825.004353	2079794592.000000	0.031313	
574.305000	34824.701161	2079798711.000000	0.030475	
574.310000	34824.397973	2079802763.000000	0.031678	
574.315000	34824.094791	2079806768.000000	0.030682	
574.320000	34823.791614	2079810532.000000	0.027821	
574.325000	34823.488443	2079814352.000000	0.027960	
574.330000	34823.185277	2079818571.000000	0.026372	
574.335000	34822.882116	2079822586.000000	0.025619	
574.340000	34822.578960	2079826576.000000	0.024843	
574.345000	34822.275810	2079830558.000000	0.025190	
574.350000	34821.972665	2079834193.000000	0.026143	
574.355000	34821.669525	2079838031.000000	0.022658	
574.360000	34821.366390	2079841905.000000	0.024103	
574.365000	34821.063261	2079845503.000000	0.024229	
574.370000	34820.760137	2079849244.000000	0.023359	
574.375000	34820.457018	2079852979.000000	0.024943	
574.380000	34820.153905	2079857067.000000	0.022230	
574.385000	34819.850797	2079861098.000000	0.023539	
574.390000	34819.547694	2079865211.000000	0.022363	
574.395000	34819.244596	2079869138.000000	0.025830	
574.400000	34818.941504	2079872993.000000	0.023128	
574.405000	34818.638417	2079876939.000000	0.024059	
574.410000	34818.335335	2079880982.000000	0.025671	
574.415000	34818.032259	2079884770.000000	0.027053	
574.420000	34817.729188	2079888534.000000	0.024620	
574.425000	34817.426122	2079892715.000000	0.021869	
574.430000	34817.123061	2079897008.000000	0.024116	
574.435000	34816.820006	2079901398.000000	0.023443	
574.440000	34816.516956	2079905632.000000	0.024932	
574.445000	34816.213911	2079909204.000000	0.023582	
574.450000	34815.910871	2079913440.000000	0.023237	
574.455000	34815.607837	2079917299.000000	0.025711	
574.460000	34815.304808	2079921365.000000	0.022774	
574.465000	34815.001784	2079925131.000000	0.020437	
574.470000	34814.698766	2079929274.000000	0.023274	
574.475000	34814.395753	2079932992.000000	0.022790	
574.480000	34814.092745	2079936794.000000	0.025075	
574.485000	34813.789742	2079940647.000000	0.024124	
574.490000	34813.486745	2079944370.000000	0.022962	
574.495000	34813.183753	2079948003.000000	0.020847	
574.500000	34812.880766	2079951727.000000	0.027388	
